Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
431634,43163,"Vendrell, el",12,Baix Penedès,43,Tarragona,Penedès,2014,0,0,1.53509551,41.22012232,POINT (1.53509551 41.22012232)
252192,25219,Tarroja de Segarra,32,Segarra,25,Lleida,Ponent,2023,0,0,1.27654161,41.73048601,POINT (1.2765416 41.73048601)
171812,17181,Santa Cristina d'Aro,10,Baix Empordà,17,Girona,Comarques Gironines,2016,0,0,2.99689805,41.81207252,POINT (2.99689805 41.81207252)
080386,08038,Callús,07,Bages,08,Barcelona,Comarques Centrals,2006,0,0,1.783871713,41.78124073,POINT (1.783871713 41.78124073)
080804,08080,Fígols,14,Berguedà,08,Barcelona,Comarques Centrals,2004,0,0,1.836761574,42.18100615,POINT (1.836761574 42.18100615)
251636,25163,"Coma i la Pedra, la",35,Solsonès,25,Lleida,Comarques Centrals,2006,0,0,1.589798104,42.17591991,POINT (1.589798104 42.17591991)
080879,08087,Gallifa,40,Vallès Occidental,08,Barcelona,Metropolità,2007,0,0,2.115699161,41.69311463,POINT (2.115699161 41.69311463)
081115,08111,Malla,24,Osona,08,Barcelona,Comarques Centrals,2014,0,0,2.234413951,41.88658813,POINT (2.234413951 41.88658813)
252477,25247,Vilamòs,39,Val d'Aran,25,Lleida,Alt Pirineu i Aran,2005,0,0,0.726519814,42.74763184,POINT (0.726519814 42.74763184)
431460,43146,Senan,16,Conca de Barberà,43,Tarragona,Camp de Tarragona,2019,0,0,1.088271595,41.46993046,POINT (1.088271595 41.46993046)
430901,43090,"Montmell, el",12,Baix Penedès,43,Tarragona,Penedès,2005,0,0,1.453796685,41.31556393,POINT (1.453796685 41.31556393)
430419,43041,Caseres,37,Terra Alta,43,Tarragona,Terres de l'Ebre,2015,0,0,0.25057195,41.03856857,POINT (0.25057195 41.03856857)
171735,17173,Sant Martí Vell,20,Gironès,17,Girona,Comarques Gironines,2005,0,0,2.931303885,42.01981256,POINT (2.931303885 42.01981256)
171735,17173,Sant Martí Vell,20,Gironès,17,Girona,Comarques Gironines,2010,0,0,2.931303885,42.01981256,POINT (2.931303885 42.01981256)
081982,08198,Sant Antoni de Vilamajor,41,Vallès Oriental,08,Barcelona,Metropolità,2019,0,0,2.400660571,41.67356956,POINT (2.400660571 41.67356956)
171450,17145,Ribes de Freser,31,Ripollès,17,Girona,Comarques Gironines,2002,0,0,2.167926705,42.30631215,POINT (2.167926705 42.30631215)
250637,25063,Canejan,39,Val d'Aran,25,Lleida,Alt Pirineu i Aran,2019,0,0,0.738490358,42.83836792,POINT (0.738490358 42.83836792)
082191,08219,Vilassar de Mar,21,Maresme,08,Barcelona,Metropolità,2022,0,0,2.392486809,41.50238859,POINT (2.392486809 41.50238859)
081326,08132,Montmajor,14,Berguedà,08,Barcelona,Comarques Centrals,2005,0,0,1.734842842,42.01741553,POINT (1.734842842 42.01741553)
082166,08216,Sant Jaume de Frontanyà,14,Berguedà,08,Barcelona,Comarques Centrals,2018,0,0,2.025486574,42.18641639,POINT (2.025486574 42.18641639)
250518,25051,Bellver de Cerdanya,15,Cerdanya,25,Lleida,Alt Pirineu i Aran,2011,0,12,1.774387211,42.37073001,POINT (1.774387211 42.37073001)
251288,25128,Llimiana,25,Pallars Jussà,25,Lleida,Alt Pirineu i Aran,2022,0,0,0.916202262,42.07514407,POINT (0.916202262 42.07514407)
082135,08213,Sant Fruitós de Bages,07,Bages,08,Barcelona,Comarques Centrals,2008,0,56,1.87327387,41.75067462,POINT (1.87327387 41.75067462)
080497,08049,Casserres,14,Berguedà,08,Barcelona,Comarques Centrals,2012,0,0,1.841287149,42.0143601,POINT (1.841287149 42.0143601)
